description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Some of this. Some of that. A mishmash of multi-zone work and cadence changes designed with a singular focus - making you faster!,1,600,40,70,%,,,,,,
,1,180,80,80,%,95,60,105,105,%,65
,1,60,65,65,%,85,,,,,
,1,180,80,80,%,100,60,105,105,%,65
,1,60,65,65,%,85,,,,,
,1,180,80,80,%,70,60,105,105,%,100
,1,60,65,65,%,85,,,,,
,1,180,80,80,%,95,60,105,105,%,65
,1,120,65,65,%,85,,,,,
,1,240,90,90,%,95,,,,,
,1,240,80,80,%,85,,,,,
,1,240,70,70,%,75,,,,,
,1,240,90,90,%,75,,,,,
,1,240,80,80,%,85,,,,,
,1,240,70,70,%,95,,,,,
,1,720,90,60,%,,,,,,
,1,120,75,75,%,65,,,,,
,1,60,75,75,%,65,,,,,
,1,120,75,75,%,95,,,,,
,1,60,75,75,%,65,,,,,
,1,120,75,75,%,65,,,,,
,6,60,75,75,%,100,60,75,75,%,60
,1,180,50,50,%,,,,,,
