description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Let's keep the consistency going with a quick 18-minute high-intensity workout. After the warm-up, the session features 30sec of work, with 30sec of rest at various intensities and recoveries. Let's send some calories into the fiery inferno!",1,60,65,80,%,,,,,,
,1,30,76,76,%,,,,,,
,1,30,82,82,%,,,,,,
,1,30,75,75,%,,,,,,
,1,30,84,84,%,,,,,,
,1,30,74,74,%,,,,,,
,1,30,86,86,%,,,,,,
,1,30,73,73,%,,,,,,
,1,30,88,88,%,,,,,,
,1,30,72,72,%,,,,,,
,1,30,90,90,%,,,,,,
,1,30,71,71,%,,,,,,
,1,30,92,92,%,,,,,,
,1,30,70,70,%,,,,,,
,1,30,94,94,%,,,,,,
,1,30,69,69,%,,,,,,
,1,30,96,96,%,,,,,,
,1,30,70,70,%,,,,,,
,1,30,94,94,%,,,,,,
,1,30,72,72,%,,,,,,
,1,30,92,92,%,,,,,,
,1,30,74,74,%,,,,,,
,1,30,90,90,%,,,,,,
,1,30,76,76,%,,,,,,
,1,30,88,88,%,,,,,,
,1,30,78,78,%,,,,,,
,1,30,92,92,%,,,,,,
,1,30,80,80,%,,,,,,
,1,30,96,96,%,,,,,,
,1,30,82,82,%,,,,,,
,1,30,100,100,%,,,,,,
,1,30,84,84,%,,,,,,
,1,30,104,104,%,,,,,,
,1,60,74,65,%,,,,,,
