description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Foundation training: Relatively low intensity ride with goal of spending a large proportion of the ride into Endurance Zone 2.,1,600,40,73,%,85,,,,,
,1,240,73,73,%,70,,,,,
,1,120,53,53,%,85,,,,,
,1,240,73,73,%,100,,,,,
,1,120,53,53,%,85,,,,,
,3,60,73,73,%,85,20,73,73,%,65
,1,120,53,53,%,85,,,,,
,1,240,73,73,%,70,,,,,
,1,120,53,53,%,85,,,,,
,2,60,73,73,%,70,60,73,73,%,100
,1,600,60,40,%,85,,,,,
