description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Strength training: A certain repetition of short and maximal efforts with the goal to increase neuromuscular recruitment and maximum specific strength.,1,360,40,60,%,85,,,,,
,1,240,60,75,%,90,,,,,
,1,180,75,85,%,100,,,,,
,1,300,53,53,%,85,,,,,
,1,10,160,160,%,,,,,,
,1,110,53,53,%,85,,,,,
,1,10,160,160,%,,,,,,
,1,110,53,53,%,85,,,,,
,1,10,160,160,%,,,,,,
,1,110,53,53,%,85,,,,,
,1,10,160,160,%,,,,,,
,1,110,53,53,%,85,,,,,
,1,10,160,160,%,,,,,,
,1,110,53,53,%,85,,,,,
,1,480,53,53,%,85,,,,,
,1,10,160,160,%,,,,,,
,1,110,53,53,%,85,,,,,
,1,10,160,160,%,,,,,,
,1,110,53,53,%,85,,,,,
,1,10,160,160,%,,,,,,
,1,110,53,53,%,85,,,,,
,1,10,160,160,%,,,,,,
,1,110,53,53,%,85,,,,,
,1,10,160,160,%,,,,,,
,1,600,60,40,%,85,,,,,
