description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Threshold Development: This training is targeting the increase in lactate threshold (FTP) with relatively short intervals at intensity of Zone 4.,1,600,40,73,%,85,,,,,
,1,240,88,88,%,95,,,,,
,1,120,53,53,%,85,,,,,
,1,240,84,92,%,90,,,,,
,1,120,53,53,%,85,,,,,
,2,60,88,88,%,95,60,88,88,%,105
,1,120,53,53,%,85,,,,,
,1,240,88,88,%,100,,,,,
,1,120,53,53,%,85,,,,,
,1,240,84,92,%,90,,,,,
,1,120,53,53,%,85,,,,,
,1,300,100,100,%,95,,,,,
,1,120,53,53,%,85,,,,,
,1,60,100,100,%,90,,,,,
,1,60,100,100,%,95,,,,,
,1,60,100,100,%,100,,,,,
,1,60,100,100,%,105,,,,,
,1,60,100,100,%,110,,,,,
,1,120,53,53,%,85,,,,,
,1,300,100,100,%,100,,,,,
,1,120,53,53,%,85,,,,,
,2,75,100,100,%,95,75,100,100,%,105
,1,120,53,53,%,85,,,,,
,1,300,100,100,%,100,,,,,
,1,300,53,40,%,85,,,,,
