description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This week's long ride features some sweet-spot intervals to start before going into a long Zone 2 endurance block to finish. But punctuating that long, steady base work, we will surge for 5min four times throughout. The last 5min surge takes you up and into the VO2max range of work. When you are tired and just want to relax, that is when you need to be able to push.",1,600,50,75,%,,,,,,
,1,300,75,75,%,,,,,,
,10,120,95,95,%,,60,55,55,%,
,1,600,75,75,%,,,,,,
,1,300,90,90,%,,,,,,
,1,600,75,75,%,,,,,,
,1,300,95,95,%,,,,,,
,1,600,75,75,%,,,,,,
,1,300,100,100,%,,,,,,
,1,600,75,75,%,,,,,,
,1,300,105,105,%,,,,,,
,1,600,75,50,%,,,,,,
