description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Base effort riding! Longer ride for you today with some smooth builds to keep it interesting. Nothing crazy at all but just 1min blocks at 85% being the hardest you'll have. Today iss a good day for an outside ride in Z1-2 if you are so inclined, but also a free-ride on the optional day as well.",1,840,60,60,%,,,,,,
,1,60,85,85,%,,,,,,
,1,120,60,60,%,,,,,,
,1,60,85,85,%,,,,,,
,1,120,60,60,%,,,,,,
,1,60,85,85,%,,,,,,
,1,120,60,60,%,,,,,,
,1,60,85,85,%,,,,,,
,1,120,60,60,%,,,,,,
,1,60,85,85,%,,,,,,
,1,120,60,60,%,,,,,,
,1,240,75,75,%,,,,,,
,1,180,80,80,%,,,,,,
,1,60,85,85,%,,,,,,
,1,300,65,65,%,,,,,,
,1,240,75,75,%,,,,,,
,1,180,80,80,%,,,,,,
,1,60,85,85,%,,,,,,
,1,300,65,65,%,,,,,,
,1,240,75,75,%,,,,,,
,1,180,80,80,%,,,,,,
,1,60,85,85,%,,,,,,
,1,300,65,65,%,,,,,,
,1,240,75,75,%,,,,,,
,1,180,80,80,%,,,,,,
,1,60,85,85,%,,,,,,
,1,300,65,65,%,,,,,,
,1,240,75,75,%,,,,,,
,1,180,80,80,%,,,,,,
,1,60,85,85,%,,,,,,
,1,300,65,65,%,,,,,,
,1,660,60,60,%,,,,,,
