description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Welcome to Week 5 of the Pebble Pounder! This is the last week before next week's regeneration week. Today we're aiming for a full 30min at SST wattages, and will again keep with the theme of incorporating some big gear efforts into the 'over' portion.",1,300,40,75,%,0,,,,,
,3,30,105,105,%,105,30,65,65,%,85
,1,120,50,50,%,85,,,,,
,1,300,95,95,%,75,,,,,
,1,300,88,88,%,90,,,,,
,1,300,95,95,%,75,,,,,
,1,300,88,88,%,90,,,,,
,1,300,95,95,%,75,,,,,
,1,300,88,88,%,90,,,,,
,1,300,65,40,%,0,,,,,
