description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"One aspect of performance that can be improved the most through correct application of interval training is the lactate threshold. Training to improve threshold power is typically performed either just below or ideally, just above threshold for extended periods.One of the best ways to hit this area of fitness is through structured efforts in ERG mode. You have no choice but to hit the power.",1,180,50,50,%,,,,,,
,4,10,175,175,%,,50,50,50,%,
,1,180,70,70,%,,,,,,
,1,120,50,50,%,,,,,,
,1,300,85,85,%,,,,,,
,1,180,50,50,%,,,,,,
,1,300,103,103,%,,,,,,
,1,120,50,50,%,,,,,,
,1,300,100,100,%,,,,,,
,1,120,50,50,%,,,,,,
,1,300,97,97,%,,,,,,
,1,120,50,50,%,,,,,,
,1,300,94,94,%,,,,,,
,1,120,50,50,%,,,,,,
,1,300,91,91,%,,,,,,
,1,300,50,50,%,,,,,,
