description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Anaerobic efforts are a guaranteed part of MTB riding. They come thick and fast during an off-road ride, often being produced at a low cadence.To add to the specificity of the workout, the anaerobic efforts are completed immediately after 4min threshold effort.",1,180,50,50,%,,,,,,
,4,10,175,175,%,,50,50,50,%,
,1,180,70,70,%,,,,,,
,1,120,50,50,%,,,,,,
,1,300,85,85,%,,,,,,
,1,180,50,50,%,,,,,,
,1,240,95,104,%,,,,,,
,4,60,135,135,%,80,120,50,50,%,90
,1,300,50,50,%,,,,,,
,1,240,95,105,%,,,,,,
,4,60,135,135,%,80,120,50,50,%,90
,1,180,50,50,%,,,,,,
