description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Another high intensity workout today. The stochastic nature of MTB riding requires you to turn the power on and then off in quick succession. Quite often leading into a threshold type of effort. Sustaining threshold power for long periods is a hard workout. Performing micro intervals leading into this effort gives the session another element of specificity.,1,420,50,75,%,,,,,,
,1,60,50,50,%,,,,,,
,5,60,90,90,%,,60,70,70,%,
,1,60,50,50,%,,,,,,
,1,180,88,88,%,,,,,,
,1,120,50,50,%,,,,,,
,6,15,45,45,%,,30,120,120,%,
,1,420,95,95,%,,,,,,
,1,300,50,50,%,,,,,,
,6,15,45,45,%,,30,120,120,%,
,1,420,95,95,%,,,,,,
,1,300,50,50,%,,,,,,
