description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"High power and high leg speed. This is an important characteristic to possess in MTB riding, along with the ability to repeat these high intensity efforts multiple times.With a short recovery between intervals today, we are replicating the demands of a high speed performance.",1,420,50,75,%,,,,,,
,1,60,50,50,%,,,,,,
,5,60,90,90,%,,60,70,70,%,
,1,60,50,50,%,,,,,,
,1,180,88,88,%,,,,,,
,1,180,50,50,%,,,,,,
,1,120,107,107,%,100,,,,,
,1,120,50,50,%,,,,,,
,1,90,107,107,%,100,,,,,
,1,90,50,50,%,,,,,,
,1,60,107,107,%,100,,,,,
,1,60,50,50,%,,,,,,
,1,30,107,107,%,100,,,,,
,1,300,50,50,%,,,,,,
,1,120,107,107,%,100,,,,,
,1,120,50,50,%,,,,,,
,1,90,107,107,%,100,,,,,
,1,90,50,50,%,,,,,,
,1,60,107,107,%,100,,,,,
,1,60,50,50,%,,,,,,
,1,30,107,107,%,100,,,,,
,1,300,50,50,%,,,,,,
