description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Micro intervals are a staple workout for many athlete's. Despite being comprised of multiple, short, high-intensity efforts, micro intervals are a way to target VO2max development. There is a myriad amount of variations possible with micro intervals. In today's session we are performing 30/15's. 30sec hard, followed by 15sec recovery.",1,180,50,50,%,,,,,,
,2,60,75,75,%,,60,50,50,%,
,2,60,90,90,%,,60,50,50,%,
,1,240,95,95,%,,,,,,
,1,180,50,50,%,,,,,,
,8,30,120,120,%,,15,63,63,%,
,1,300,55,55,%,,,,,,
,8,30,120,120,%,,15,63,63,%,
,1,300,55,55,%,,,,,,
,8,30,120,120,%,,15,63,63,%,
,1,300,55,55,%,,,,,,
,1,240,95,95,%,,,,,,
,1,300,50,50,%,,,,,,
