description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Completing long tempo efforts with short, high intensity surges, is another way to increase threshold power. With the constant high power, the body is forced to process the lactate produced from the above threshold surges.An effective session, without the lung burning effect of a sustained threshold effort.",1,180,50,50,%,,,,,,
,2,60,75,75,%,,60,50,50,%,
,2,60,90,90,%,,60,50,50,%,
,1,180,50,50,%,,,,,,
,1,180,80,80,%,,,,,,
,1,60,50,50,%,,,,,,
,1,20,125,125,%,,,,,,
,1,360,75,88,%,80,,,,,
,1,120,50,50,%,,,,,,
,1,20,125,125,%,,,,,,
,1,360,75,88,%,90,,,,,
,1,120,50,50,%,,,,,,
,1,20,125,125,%,,,,,,
,1,360,75,88,%,80,,,,,
,1,120,50,50,%,,,,,,
,1,20,125,125,%,,,,,,
,1,360,75,88,%,90,,,,,
,1,120,50,50,%,,,,,,
,1,180,80,80,%,,,,,,
,1,300,50,50,%,,,,,,
