description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Aerobic endurance workouts are aimed at improving your efficiency at lower intensity levels. Training your muscles to access fat as its main fuel source and preserve your precious glycogen stores for the finale. After warming up, you will be completing a series of long aerobic efforts with short recovery. Keep an eye on your heart rate response to the sustained power. Are you achieving the same heart rate in the third effort as the first?",1,300,45,70,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,50,50,%,,,,,,
,1,60,90,90,%,,,,,,
,1,60,50,50,%,,,,,,
,3,30,90,90,%,,210,75,75,%,
,1,180,50,50,%,,,,,,
,3,30,90,90,%,,210,75,75,%,
,1,180,50,50,%,,,,,,
,3,30,90,90,%,,210,75,75,%,
,1,180,50,50,%,,,,,,
,3,30,90,90,%,,210,75,75,%,
,1,300,75,45,%,,,,,,
