description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
A race simulation on Watopia Flat Forward where you'll tackle 3 laps of the course.,1,420,50,75,%,,,,,,
,2,30,110,110,%,110,30,55,55,%,85
,1,60,55,55,%,,,,,,
,1,20,150,150,%,,,,,,
,1,10,130,130,%,,,,,,
,1,20,55,55,%,,,,,,
,1,240,85,85,%,,,,,,
,1,30,120,120,%,,,,,,
,1,180,85,85,%,,,,,,
,1,180,95,95,%,75,,,,,
,1,20,55,55,%,,,,,,
,1,120,85,85,%,,,,,,
,1,30,120,120,%,,,,,,
,4,10,110,110,%,,10,65,65,%,
,1,60,55,55,%,,,,,,
,1,10,130,130,%,,,,,,
,1,20,55,55,%,,,,,,
,1,240,85,85,%,,,,,,
,1,30,120,120,%,,,,,,
,1,180,85,85,%,,,,,,
,1,180,95,95,%,75,,,,,
,1,20,55,55,%,,,,,,
,1,120,85,85,%,,,,,,
,1,30,120,120,%,,,,,,
,4,10,110,110,%,,10,65,65,%,
,1,60,55,55,%,,,,,,
,1,10,130,130,%,,,,,,
,1,20,55,55,%,,,,,,
,1,240,85,85,%,,,,,,
,1,30,120,120,%,,,,,,
,1,180,85,85,%,,,,,,
,1,180,95,95,%,75,,,,,
,1,20,55,55,%,,,,,,
,1,120,85,85,%,,,,,,
,1,30,140,140,%,,,,,,
,4,10,110,110,%,,10,65,65,%,
,1,20,100,100,%,,,,,,
,1,10,200,200,%,,,,,,
,1,270,55,35,%,,,,,,
