description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Warm up then complete3 x 20min SST efforts @ 88-94%FTP*** Start each interval with 3 x 15sec max sprints with 30sec recovery. Following the 3rd sprint do not rest. Straight into the SST effort.5min recovery between intervals.Cool down.,1,60,50,50,%,,,,,,
,1,60,53,53,%,,,,,,
,1,60,56,56,%,,,,,,
,1,60,59,59,%,,,,,,
,1,60,62,62,%,,,,,,
,1,60,64,64,%,,,,,,
,1,60,67,67,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,73,73,%,,,,,,
,1,60,76,76,%,,,,,,
,1,180,55,55,%,,,,,,
,1,15,140,140,%,,,,,,
,1,30,55,55,%,,,,,,
,1,15,140,140,%,,,,,,
,1,30,55,55,%,,,,,,
,1,15,140,140,%,,,,,,
,1,1200,90,90,%,,,,,,
,1,300,55,55,%,,,,,,
,1,15,140,140,%,,,,,,
,1,30,55,55,%,,,,,,
,1,15,140,140,%,,,,,,
,1,30,55,55,%,,,,,,
,1,15,140,140,%,,,,,,
,1,1200,90,90,%,,,,,,
,1,300,55,55,%,,,,,,
,1,15,140,140,%,,,,,,
,1,30,55,55,%,,,,,,
,1,15,140,140,%,,,,,,
,1,30,55,55,%,,,,,,
,1,15,140,140,%,,,,,,
,1,1200,90,90,%,,,,,,
,1,60,76,76,%,,,,,,
,1,60,73,73,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,67,67,%,,,,,,
,1,60,64,64,%,,,,,,
,1,60,62,62,%,,,,,,
,1,60,59,59,%,,,,,,
,1,60,56,56,%,,,,,,
,1,60,53,53,%,,,,,,
,1,60,50,50,%,,,,,,
