description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
NEUROMUSCULAR POWER #1-----WU:10 Min including 1 min efforts in zone 4 and 5.-----MS:Every 3min perform a 10 Sec surge.TARGET: Power Zone 3 (lower end of range)CADENCE: Vary cadence throughout the ride from 85-105rpm.,1,120,50,50,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,50,50,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,50,50,%,,,,,,
,1,60,109,109,%,,,,,,
,1,60,50,50,%,,,,,,
,1,60,109,109,%,,,,,,
,1,60,50,50,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,300,75,50,%,,,,,,
