description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Riding at a near threshold power, the challenge today is to reach the target power with the highest cadence possible. You will then increase the length of the interval in the next step where you should aim to maintain the same cadence as the previous interval.",1,600,50,75,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,55,55,%,,,,,,
,1,120,95,95,%,,,,,,
,1,120,55,55,%,,,,,,
,1,180,95,95,%,,,,,,
,1,180,55,55,%,,,,,,
,1,600,76,76,%,,,,,,
,1,120,55,55,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,55,55,%,,,,,,
,1,120,95,95,%,,,,,,
,1,120,55,55,%,,,,,,
,1,180,95,95,%,,,,,,
,1,180,55,55,%,,,,,,
,1,600,75,50,%,,,,,,
