description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Control The Burn starts easy and builds slowly. Beware it gets hot! Can you stand the heat! This workout is great for time crunched athletes looking for an efficient session.,1,180,65,80,%,,,,,,
,1,20,60,60,%,,,,,,
,1,120,80,80,%,,,,,,
,1,20,60,60,%,,,,,,
,1,120,82,88,%,,,,,,
,1,20,60,60,%,,,,,,
,1,60,90,90,%,,,,,,
,1,20,60,60,%,,,,,,
,1,90,92,98,%,,,,,,
,1,20,60,60,%,,,,,,
,1,30,102,102,%,,,,,,
,1,20,60,60,%,,,,,,
,1,60,104,108,%,,,,,,
,1,20,60,60,%,,,,,,
,1,15,110,110,%,,,,,,
,1,105,70,65,%,,,,,,
