description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"After warming up you will complete the main set of 20 x 30sec @ 113%FTP with 2.5min recovery. These are controlled accelerations, NOT max sprints.Today the endurance part comes at the end. Observe your heart rate throughout the 'Mito' set. Is it returning to normal resting values after each 30sec surge?",1,180,50,50,%,85,,,,,
,1,60,60,60,%,85,,,,,
,1,60,65,65,%,90,,,,,
,1,60,81,81,%,90,,,,,
,1,60,109,109,%,95,,,,,
,1,120,50,50,%,85,,,,,
,1,240,90,90,%,95,,,,,
,1,180,50,50,%,85,,,,,
,20,30,113,113,%,100,150,50,50,%,80
,1,900,0,0,0,,,,,,
