description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Simulating the demands of climbing at a Vo2 Max intensity, today you will complete 5 x 3min intervals, followed by 3 x 2min intervals.However, the target cadence is reduced from 85rpm in the 3min intervals to 70rpm in the 2min intervals. Complete the 3min intervals seated and the 2min intervals standing if possible.",1,600,51,75,%,,,,,,
,1,300,105,105,%,,,,,,
,1,300,55,55,%,,,,,,
,1,180,106,106,%,85,,,,,
,1,180,55,55,%,,,,,,
,1,180,106,106,%,85,,,,,
,1,180,55,55,%,,,,,,
,1,180,106,106,%,85,,,,,
,1,180,55,55,%,,,,,,
,1,180,106,106,%,85,,,,,
,1,180,55,55,%,,,,,,
,1,180,106,106,%,85,,,,,
,1,180,55,55,%,,,,,,
,1,120,55,55,%,,,,,,
,1,120,106,106,%,70,,,,,
,1,240,55,55,%,85,,,,,
,1,120,106,106,%,70,,,,,
,1,240,55,55,%,,,,,,
,1,120,106,106,%,70,,,,,
,1,240,55,55,%,,,,,,
,1,600,75,50,%,,,,,,
