description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Along with challenging your fitness by going from a short Anaerobic effort into a sustained tempo effort, this session adds to that adaptation by including a large difference in cadence.Complete the opening low cadence Anaerobic Interval out of the seat, before settling into a high cadence tempo Interval.",1,600,25,75,%,,,,,,
,1,60,50,50,%,,,,,,
,1,60,120,120,%,80,,,,,
,1,300,88,88,%,95,,,,,
,1,120,55,55,%,85,,,,,
,1,60,120,120,%,80,,,,,
,1,300,88,88,%,95,,,,,
,1,120,55,55,%,85,,,,,
,1,60,120,120,%,80,,,,,
,1,300,88,88,%,95,,,,,
,1,120,55,55,%,85,,,,,
,1,60,120,120,%,80,,,,,
,1,300,88,88,%,95,,,,,
,1,120,55,55,%,85,,,,,
,1,60,120,120,%,80,,,,,
,1,300,88,88,%,95,,,,,
,1,120,55,55,%,,,,,,
,1,60,120,120,%,80,,,,,
,1,300,88,88,%,95,,,,,
,1,120,55,55,%,,,,,,
,1,300,75,50,%,,,,,,
