description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Finishing fast is the key to winning the race.  This comes from being able to recover quickly after hard efforts, conserving energy in the race and also being able to attack hard and maintain to the finishline.  Warmup for 10minutes with 3 x 1 minute fast pedaling drills >110rpm, then do (6) x 5 minute efforts with each beginning in a short sprint, followed by a effort that tapers to your FTP and then maintain FTP for the final 3 minutes.  Recover completely between each one for 3 minutes. Cool-down.",1,600,25,75,%,,,,,,
,3,60,75,75,%,110,60,50,50,%,80
,1,300,120,100,%,85,,,,,
,1,180,65,65,%,,,,,,
,1,300,120,100,%,85,,,,,
,1,180,65,65,%,,,,,,
,1,300,120,100,%,85,,,,,
,1,180,65,65,%,,,,,,
,1,300,120,100,%,85,,,,,
,1,180,65,65,%,,,,,,
,1,300,120,100,%,85,,,,,
,1,180,65,65,%,,,,,,
,1,300,120,100,%,85,,,,,
,1,540,75,25,%,,,,,,
