description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Bit by bit and piece by piece, you are building a picture of a complete athlete with the fitness to tackle any challenge. Take another step towards completing your Mosaic today.",1,600,40,80,%,,,,,,
,1,30,90,90,%,95,30,55,55,%,85
,1,30,100,100,%,105,30,55,55,%,85
,1,30,110,110,%,115,30,55,55,%,85
,1,120,55,55,%,85,,,,,
,5,180,115,115,%,100,180,65,65,%,85
,1,300,55,55,%,85,,,,,
,10,60,100,100,%,95,60,75,75,%,65
,1,300,55,55,%,85,,,,,
,1,300,85,85,%,90,60,100,100,%,105
,1,300,85,85,%,80,60,100,100,%,95
,1,300,85,85,%,70,60,100,100,%,85
,1,60,85,85,%,85,,,,,
,1,60,85,85,%,60,,,,,
,1,60,85,85,%,85,,,,,
,1,60,85,85,%,60,,,,,
,1,60,85,85,%,85,,,,,
,1,60,100,100,%,100,,,,,
,1,300,85,85,%,80,60,100,100,%,95
,1,300,85,85,%,90,60,100,100,%,105
,1,240,55,25,%,,,,,,
