description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Endurance ride. Ride at an endruance pace for 2.5 hours. Throughout the ride, do 10 8-second max power bursts. Be sure your cadence remains high.",1,900,70,75,%,,,,,,
,1,900,73,73,%,,,,,,
,1,8,2000,2000,Max,,,,,,
,1,900,73,73,%,,,,,,
,1,8,2000,2000,Max,,,,,,
,1,900,73,73,%,,,,,,
,1,8,2000,2000,Max,,,,,,
,1,900,73,73,%,,,,,,
,1,8,2000,2000,Max,,,,,,
,1,900,73,73,%,,,,,,
,1,8,2000,2000,Max,,,,,,
,1,900,73,73,%,,,,,,
,1,8,2000,2000,Max,,,,,,
,1,900,73,73,%,,,,,,
,1,8,2000,2000,Max,,,,,,
,1,900,73,73,%,,,,,,
,1,8,2000,2000,Max,,,,,,
,1,900,73,73,%,,,,,,
,1,8,2000,2000,Max,,,,,,
,1,900,73,73,%,,,,,,
,1,8,2000,2000,Max,,,,,,
,1,900,55,50,%,,,,,,
