description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Complete today's workout at 80 rpm. Complete warm up and cool down in 39x15. The main set of the ride will be completed in 53x15. If that is not possible then use different gears. Get in work in a single gear that simulates you riding outside over varying terrain.,1,420,25,100,%,,,,,,
,1,60,50,50,%,,,,,,
,1,90,95,95,%,,,,,,
,1,60,50,50,%,,,,,,
,1,90,95,95,%,,,,,,
,1,60,50,50,%,,,,,,
,1,90,95,95,%,,,,,,
,1,60,50,50,%,,,,,,
,1,120,109,109,%,,,,,,
,1,180,50,50,%,,,,,,
,1,120,109,109,%,,,,,,
,1,180,50,50,%,,,,,,
,1,120,109,109,%,,,,,,
,1,180,50,50,%,,,,,,
,1,120,109,109,%,,,,,,
,1,180,50,50,%,,,,,,
,1,30,125,125,%,,,,,,
,1,60,50,50,%,,,,,,
,1,30,125,125,%,,,,,,
,1,60,50,50,%,,,,,,
,1,30,125,125,%,,,,,,
,1,60,50,50,%,,,,,,
,1,30,125,125,%,,,,,,
,1,600,75,25,%,,,,,,
