description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This ride includes three sets of a gradual build taking the intensity from 70%-90% of your FTP which is an Endurance pace up to an upper Tempo zone. After each there will be a short :30 second recovery followed by a :30 second effort, ""earning your stripe"", reaching in to the anaerobic zone. After each build, you will earn an additional stripe for a total of 6 in todays 40-minute session.",1,30,35,35,%,85,,,,,
,1,30,40,40,%,85,,,,,
,1,45,45,45,%,85,,,,,
,1,45,50,50,%,85,,,,,
,1,45,55,55,%,85,,,,,
,1,45,60,60,%,85,,,,,
,1,45,65,65,%,85,,,,,
,1,45,70,70,%,85,,,,,
,1,90,55,55,%,,,,,,
,1,120,70,70,%,85,,,,,
,1,120,80,80,%,85,,,,,
,1,120,90,90,%,85,,,,,
,1,30,50,50,%,85,,,,,
,1,30,120,120,%,85,,,,,
,1,120,55,55,%,85,,,,,
,1,120,70,70,%,85,,,,,
,1,120,80,80,%,85,,,,,
,1,120,90,90,%,85,,,,,
,1,30,50,50,%,85,,,,,
,1,30,120,120,%,85,,,,,
,1,30,50,50,%,85,,,,,
,1,30,120,120,%,85,,,,,
,1,120,55,55,%,85,,,,,
,1,120,70,70,%,85,,,,,
,1,120,80,80,%,85,,,,,
,1,120,90,90,%,85,,,,,
,1,30,50,50,%,85,,,,,
,1,30,120,120,%,85,,,,,
,1,30,50,50,%,85,,,,,
,1,30,120,120,%,85,,,,,
,1,30,50,50,%,85,,,,,
,1,30,120,120,%,85,,,,,
,1,60,60,60,%,85,,,,,
,1,60,55,55,%,85,,,,,
,1,60,50,50,%,85,,,,,
,1,60,45,45,%,85,,,,,
,1,60,40,40,%,85,,,,,
