description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This workout takes on a pyramid style structure, where the efforts progress from 10 seconds up to 1 minute then after a recovery period reduce back down from 1 minute to 10 seconds. The rest mirrors the effort throughout.",1,300,25,70,%,,,,,,
,1,130,50,50,%,,,,,,
,1,10,105,105,%,,,,,,
,1,10,40,40,%,,,,,,
,1,20,105,105,%,,,,,,
,1,20,40,40,%,,,,,,
,1,30,105,105,%,,,,,,
,1,30,40,40,%,,,,,,
,1,40,105,105,%,,,,,,
,1,40,40,40,%,,,,,,
,1,50,105,105,%,,,,,,
,1,50,40,40,%,,,,,,
,1,60,105,105,%,,,,,,
,1,300,40,40,%,,,,,,
,1,60,105,105,%,,,,,,
,1,60,40,40,%,,,,,,
,1,50,105,105,%,,,,,,
,1,50,40,40,%,,,,,,
,1,40,105,105,%,,,,,,
,1,40,40,40,%,,,,,,
,1,30,105,105,%,,,,,,
,1,30,40,40,%,,,,,,
,1,20,105,105,%,,,,,,
,1,20,40,40,%,,,,,,
,1,10,105,105,%,,,,,,
,1,300,65,35,%,,,,,,
