description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This workout contains 4 x 3 minute ramps with a 15 second surge on the end to sting the legs a little.  The ramped part of the efforts should feel controlled and with a 2 minute rest after each surge, your heart rate should not get too high.",1,300,25,70,%,,,,,,
,1,60,40,40,%,,,,,,
,1,180,70,90,%,,,,,,
,1,15,115,115,%,,,,,,
,1,120,40,40,%,,,,,,
,1,180,70,90,%,,,,,,
,1,15,115,115,%,,,,,,
,1,120,40,40,%,,,,,,
,1,180,70,90,%,,,,,,
,1,15,115,115,%,,,,,,
,1,120,40,40,%,,,,,,
,1,180,70,90,%,,,,,,
,1,15,115,115,%,,,,,,
,1,300,65,35,%,,,,,,
