description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"The Wriggler is a little bit random - think of it as a Fartlek style workout, where you make efforts at a range of intensities and lengths.No specific cadence to target today, and similarly feel free to ride out of the saddle. Go with the flow and get stuck into this rollercoaster of a session - it's one to keep you occupied, just like a wriggling toddler!",1,300,25,70,%,,,,,,
,1,180,40,40,%,,,,,,
,1,420,80,60,%,,,,,,
,1,15,105,105,%,,,,,,
,1,180,40,40,%,,,,,,
,1,240,60,85,%,,,,,,
,1,90,90,90,%,,,,,,
,1,180,40,40,%,,,,,,
,1,300,60,85,%,,,,,,
,1,15,115,115,%,,,,,,
,1,180,40,40,%,,,,,,
,1,300,65,35,%,,,,,,
