description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This workout is fairly varied! As your power constantly ramps up and down, and your cadence changes frequently - this is a workout to keep you engaged and working towards improving your fitness. The max power you produce during the ramps is only 95% of your threshold, so you should be able to manage this workout on tired legs.",1,300,40,105,%,,,,,,
,1,120,50,50,%,,,,,,
,1,120,65,75,%,65,,,,,
,1,120,75,85,%,,,,,,
,1,120,85,75,%,85,,,,,
,1,120,75,85,%,65,,,,,
,1,120,85,95,%,,,,,,
,1,120,95,85,%,85,,,,,
,1,300,40,40,%,,,,,,
,1,120,65,75,%,65,,,,,
,1,120,75,85,%,,,,,,
,1,120,85,75,%,85,,,,,
,1,120,75,85,%,65,,,,,
,1,120,85,95,%,,,,,,
,1,120,95,85,%,85,,,,,
,1,300,70,40,%,,,,,,
