description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Going above and below functional threshold power (FTP) is a great way to increase the training impact of a workout - this is also known as 'over/unders.' Today's workout is the first of this plan's progressive over/under workout series. After a warm-up, we'll go into 2 sets of 6x (1min under and 30sec over), then cool down.",1,300,40,60,%,,,,,,
,1,60,80,80,%,95,,,,,
,1,30,95,95,%,95,,,,,
,1,30,55,55,%,85,,,,,
,1,60,80,80,%,100,,,,,
,1,30,105,105,%,100,,,,,
,1,30,55,55,%,85,,,,,
,1,60,80,80,%,105,,,,,
,1,30,115,115,%,105,,,,,
,1,30,55,55,%,85,,,,,
,1,60,55,55,%,85,,,,,
,1,60,80,80,%,90,,,,,
,1,30,105,105,%,70,,,,,
,1,60,80,80,%,90,,,,,
,1,30,105,105,%,70,,,,,
,1,60,80,80,%,90,,,,,
,1,30,105,105,%,70,,,,,
,1,60,80,80,%,90,,,,,
,1,30,105,105,%,70,,,,,
,1,60,80,80,%,90,,,,,
,1,30,105,105,%,70,,,,,
,1,60,80,80,%,90,,,,,
,1,30,105,105,%,70,,,,,
,1,120,55,55,%,85,,,,,
,6,60,80,80,%,70,30,105,105,%,100
,1,180,75,40,%,,,,,,
