description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This workout features a series of Leg Openers to prime the pump for a big effort. Enjoy this short and sharp workout designed to get you ready. Who's the ""Alpha"" after those past weeks of training now? YOU!",1,240,40,40,%,80,,,,,
,1,240,53,53,%,90,,,,,
,1,240,67,67,%,100,,,,,
,1,240,80,80,%,110,,,,,
,1,120,55,55,%,85,,,,,
,1,180,105,105,%,100,,,,,
,1,120,55,55,%,85,,,,,
,1,60,115,115,%,110,,,,,
,1,120,55,55,%,85,,,,,
,2,30,120,120,%,110,30,55,55,%,85
,1,120,55,25,%,,,,,,
