description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"The duration goes up. The intensity comes down. Simple enough, right?",1,300,40,65,%,,,,,,
,1,300,65,65,%,90,,,,,
,1,180,75,75,%,100,,,,,
,1,120,55,55,%,85,,,,,
,1,300,100,100,%,100,,,,,
,1,120,55,55,%,85,,,,,
,1,360,98,98,%,90,,,,,
,1,120,55,55,%,85,,,,,
,1,420,96,96,%,80,,,,,
,1,120,55,55,%,85,,,,,
,1,480,94,94,%,70,,,,,
,1,120,55,55,%,85,,,,,
,1,540,92,92,%,60,,,,,
,1,120,65,40,%,,,,,,
