description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"5 different interval ""Amalgams"" for your fitness pleasure! We will be mixing it up with on-bike position changes as well as working on pedaling fluidity. Then 10 minutes right at FTP... You can do it! Follow that up with some short and sharp efforts... #Power! And then a series of ""Shark Teeth!"" Finish off today with ANOTHER 10 minutes right at FTP! Even though you'll be tired, I know you can do it! #MentalStrength",1,600,40,75,%,,,,,,
,1,30,95,95,%,95,30,50,50,%,85
,1,30,105,105,%,105,30,50,50,%,85
,1,30,115,115,%,115,30,50,50,%,85
,1,120,50,50,%,85,,,,,
,1,120,85,85,%,75,,,,,
,1,60,85,85,%,60,,,,,
,1,120,85,85,%,75,,,,,
,1,60,85,85,%,60,,,,,
,2,60,85,85,%,75,60,85,85,%,55
,1,300,65,65,%,85,,,,,
,1,600,100,100,%,90,,,,,
,1,150,50,50,%,85,,,,,
,1,180,65,65,%,85,,,,,
,6,15,110,110,%,110,45,45,45,%,85
,1,300,65,65,%,85,,,,,
,1,60,105,115,%,,,,,,
,1,60,115,105,%,,,,,,
,1,60,50,50,%,85,,,,,
,1,60,105,115,%,,,,,,
,1,60,115,105,%,,,,,,
,1,60,50,50,%,85,,,,,
,1,60,105,115,%,,,,,,
,1,60,115,105,%,,,,,,
,1,150,50,50,%,85,,,,,
,1,180,65,65,%,85,,,,,
,1,600,100,100,%,90,,,,,
,1,300,65,40,%,,,,,,
