description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
CA stands for Cadence Adjustment. We all have our preferred cadence range. It is important to be able to pedal outside of that. This workout challenges your ability to spin the pedals. And to do so outside of your typical comfort zone.,1,300,25,65,%,,,,,,
,1,300,65,65,%,90,,,,,
,3,30,110,110,%,100,30,55,55,%,85
,1,120,55,55,%,85,,,,,
,1,180,90,90,%,90,,,,,
,1,120,85,85,%,100,,,,,
,1,60,75,75,%,115,,,,,
,1,120,55,55,%,85,,,,,
,1,180,90,90,%,90,,,,,
,1,120,85,85,%,100,,,,,
,1,60,75,75,%,115,,,,,
,1,120,55,55,%,85,,,,,
,1,180,90,90,%,90,,,,,
,1,120,85,85,%,100,,,,,
,1,60,75,75,%,115,,,,,
,1,120,55,55,%,85,,,,,
,1,180,90,90,%,90,,,,,
,1,120,85,85,%,100,,,,,
,1,60,75,75,%,115,,,,,
,1,120,55,55,%,85,,,,,
,1,180,90,90,%,90,,,,,
,1,120,85,85,%,100,,,,,
,1,60,75,75,%,115,,,,,
,1,420,75,25,%,,,,,,
