description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Like the Great Pyramid of Giza, this workout goes up... And then comes back down. Also like the pyramids, it is a big workout with sustained workloads. Build a monument to your own fitness here!",1,420,25,75,%,,,,,,
,1,30,95,95,%,95,30,50,50,%,85
,1,30,105,105,%,105,30,50,50,%,85
,1,30,115,115,%,115,30,50,50,%,85
,1,120,50,50,%,85,,,,,
,1,480,75,75,%,75,,,,,
,1,60,55,55,%,85,,,,,
,1,480,80,80,%,85,,,,,
,1,60,55,55,%,85,,,,,
,1,480,85,85,%,100,,,,,
,1,60,55,55,%,85,,,,,
,1,480,80,80,%,85,,,,,
,1,60,55,55,%,85,,,,,
,1,480,75,75,%,75,,,,,
,1,240,75,25,%,,,,,,
