description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"An assortment of skills, drills, and work across a range of zones. Featuring pedaling fluidity work and working on your ability to recover under pressure.",1,600,25,75,%,,,,,,
,1,30,95,95,%,95,30,50,50,%,85
,1,30,105,105,%,105,30,50,50,%,85
,1,30,115,115,%,115,30,50,50,%,85
,1,120,50,50,%,85,,,,,
,1,600,100,100,%,90,,,,,
,1,120,50,50,%,85,,,,,
,1,180,65,65,%,90,,,,,
,4,60,65,65,%,100,60,65,65,%,70
,1,120,65,65,%,90,,,,,
,6,180,77,77,%,90,20,120,120,%,110
,1,120,50,50,%,85,,,,,
,1,180,65,65,%,90,,,,,
,4,60,65,65,%,100,60,65,65,%,70
,1,120,65,65,%,90,,,,,
,5,60,120,120,%,100,120,55,55,%,85
,1,900,65,65,%,90,,,,,
,1,600,100,100,%,90,,,,,
,1,300,60,25,%,,,,,,
