description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Long, low intensity efforts aren't the only way to build endurance. By incorporating short surges into a steady effort you will increase your oxygen uptake and training stimulus. Completing a low intensity effort with a surge every few minutes should feel comfortable, but the constant change in power and surging, will provide you with big gains in endurance.",1,120,50,50,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,50,50,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,50,50,%,,,,,,
,1,60,109,109,%,,,,,,
,1,60,50,50,%,,,,,,
,1,60,109,109,%,,,,,,
,1,60,50,50,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,180,78,78,%,,,,,,
,1,10,121,121,%,,,,,,
,1,300,75,50,%,,,,,,
