description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Derek Rush,1,720,35,90,%,,,,,,
,1,120,50,50,%,,,,,,
,20,30,140,140,%,,30,35,35,%,
,1,270,50,50,%,,,,,,
,20,30,140,140,%,,30,35,35,%,
,1,270,50,50,%,,,,,,
,1,300,75,90,%,,,,,,
,1,15,175,175,%,,,,,,
,1,300,75,90,%,,,,,,
,1,15,175,175,%,,,,,,
,1,300,75,90,%,,,,,,
,1,15,175,175,%,,,,,,
,1,300,75,90,%,,,,,,
,1,15,175,175,%,,,,,,
,1,300,75,90,%,,,,,,
,1,15,175,175,%,,,,,,
,1,300,75,90,%,,,,,,
,1,15,175,175,%,,,,,,
,1,300,75,90,%,,,,,,
,1,15,175,175,%,,,,,,
,1,300,75,90,%,,,,,,
,1,15,175,175,%,,,,,,
,1,420,75,25,%,,,,,,
