description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Derek Rush,1,600,45,90,%,,,,,,
,1,30,110,110,%,,,,,,
,1,60,50,50,%,,,,,,
,1,30,115,115,%,,,,,,
,1,60,50,50,%,,,,,,
,1,30,120,120,%,,,,,,
,1,120,50,50,%,,,,,,
,1,180,110,110,%,,,,,,
,1,60,115,115,%,,,,,,
,1,60,130,130,%,,,,,,
,1,300,55,55,%,,,,,,
,1,180,110,110,%,,,,,,
,1,60,115,115,%,,,,,,
,1,60,130,130,%,,,,,,
,1,300,55,55,%,,,,,,
,1,180,110,110,%,,,,,,
,1,60,115,115,%,,,,,,
,1,60,130,130,%,,,,,,
,1,300,55,55,%,,,,,,
,1,180,110,110,%,,,,,,
,1,60,115,115,%,,,,,,
,1,60,130,130,%,,,,,,
,1,300,55,55,%,,,,,,
,1,180,110,110,%,,,,,,
,1,60,115,115,%,,,,,,
,1,60,130,130,%,,,,,,
,1,300,55,55,%,,,,,,
,1,180,110,110,%,,,,,,
,1,60,115,115,%,,,,,,
,1,60,130,130,%,,,,,,
