description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Derek Rush,1,720,50,90,%,,,,,,
,1,120,50,50,%,,,,,,
,1,600,100,100,%,,,,,,
,1,20,130,130,%,,,,,,
,1,40,30,30,%,,,,,,
,1,30,130,130,%,,,,,,
,1,30,30,30,%,,,,,,
,1,40,130,130,%,,,,,,
,1,20,30,30,%,,,,,,
,1,50,130,130,%,,,,,,
,1,10,30,30,%,,,,,,
,1,60,130,130,%,,,,,,
,1,300,50,50,%,,,,,,
,1,600,100,100,%,,,,,,
,1,20,130,130,%,,,,,,
,1,40,30,30,%,,,,,,
,1,30,130,130,%,,,,,,
,1,30,30,30,%,,,,,,
,1,40,130,130,%,,,,,,
,1,20,30,30,%,,,,,,
,1,50,130,130,%,,,,,,
,1,10,30,30,%,,,,,,
,1,60,130,130,%,,,,,,
,1,300,50,50,%,,,,,,
,1,600,100,100,%,,,,,,
,1,20,130,130,%,,,,,,
,1,40,30,30,%,,,,,,
,1,30,130,130,%,,,,,,
,1,30,30,30,%,,,,,,
,1,40,130,130,%,,,,,,
,1,20,30,30,%,,,,,,
,1,50,130,130,%,,,,,,
,1,10,30,30,%,,,,,,
,1,60,130,130,%,,,,,,
,1,300,50,50,%,,,,,,
,1,600,100,100,%,,,,,,
,1,20,130,130,%,,,,,,
,1,40,30,30,%,,,,,,
,1,30,130,130,%,,,,,,
,1,30,30,30,%,,,,,,
,1,40,130,130,%,,,,,,
,1,20,30,30,%,,,,,,
,1,50,130,130,%,,,,,,
,1,10,30,30,%,,,,,,
,1,60,130,130,%,,,,,,
,1,600,70,25,%,,,,,,
