description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Dig Deep Coaching,1,300,50,50,%,85,,,,,
,1,30,120,120,%,125,,,,,
,1,90,55,55,%,,,,,,
,1,30,120,120,%,125,,,,,
,1,90,55,55,%,,,,,,
,1,30,120,120,%,125,,,,,
,1,90,55,55,%,,,,,,
,1,300,75,75,%,,,,,,
,1,420,80,80,%,95,,,,,
,1,600,95,95,%,75,,,,,
,1,420,55,55,%,,,,,,
,1,45,98,98,%,80,,,,,
,1,15,200,200,%,85,,,,,
,1,180,110,110,%,78,,,,,
,1,300,95,95,%,73,,,,,
,1,120,50,50,%,105,,,,,
,1,120,90,90,%,95,,,,,
,1,60,100,100,%,95,,,,,
,1,30,190,190,%,95,,,,,
,1,300,50,50,%,,,,,,
