description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: f.bassis,1,485,34,75,%,,,,,,
,1,300,81,81,%,,,,,,
,1,300,81,92,%,,,,,,
,1,300,92,105,%,,,,,,
,1,240,0,0,0,,,,,,
,1,180,76,76,%,105,,,,,
,1,120,85,85,%,90,,,,,
,1,120,100,100,%,80,,,,,
,1,120,85,85,%,90,,,,,
,1,180,76,76,%,105,,,,,
,1,180,0,0,0,,,,,,
,1,60,107,107,%,90,,,,,
,1,180,88,88,%,,,,,,
,1,180,67,67,%,105,,,,,
,1,180,85,85,%,85,,,,,
,1,60,110,110,%,,,,,,
,1,420,75,51,%,,,,,,
