description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: f.bassis,1,360,40,75,%,,,,,,
,3,60,82,82,%,110,120,65,65,%,85
,1,30,180,180,%,,,,,,
,1,180,95,115,%,,,,,,
,1,15,180,180,%,,,,,,
,1,240,0,0,0,,,,,,
,1,30,181,181,%,,,,,,
,1,180,95,115,%,,,,,,
,1,15,180,180,%,,,,,,
,1,240,0,0,0,,,,,,
,1,30,180,180,%,,,,,,
,1,180,95,115,%,,,,,,
,1,15,180,180,%,,,,,,
,1,240,0,0,0,,,,,,
,1,30,180,180,%,,,,,,
,1,180,95,115,%,,,,,,
,1,15,180,180,%,,,,,,
,1,240,0,0,0,,,,,,
,1,30,180,180,%,,,,,,
,1,180,95,115,%,,,,,,
,1,15,180,180,%,,,,,,
,4,120,65,65,%,,60,90,90,%,
,1,495,65,40,%,,,,,,
