description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
'Power Bookends' is here! This session mixes endurance with bursts that take you from Sweet Spot to your Threshold power along the way. It's not just a workout; it's a fitness builder designed to keep you on your toes!,1,60,55,55,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,75,75,%,,,,,,
,1,60,85,85,%,,,,,,
,1,60,95,95,%,,,,,,
,1,30,50,50,%,,,,,,
,1,30,110,110,%,,,,,,
,1,30,50,50,%,,,,,,
,1,30,110,110,%,,,,,,
,1,30,50,50,%,,,,,,
,1,30,110,110,%,,,,,,
,1,60,50,50,%,,,,,,
,1,60,50,50,%,,,,,,
,1,15,110,110,%,,,,,,
,1,30,50,50,%,,,,,,
,1,15,135,135,%,,,,,,
,1,30,50,50,%,,,,,,
,1,15,160,160,%,,,,,,
,1,60,50,50,%,,,,,,
,1,15,110,110,%,,,,,,
,1,120,100,100,%,,,,,,
,1,15,110,110,%,,,,,,
,1,90,60,60,%,,,,,,
,1,120,100,100,%,,,,,,
,1,15,135,135,%,,,,,,
,1,90,65,65,%,,,,,,
,1,150,90,90,%,,,,,,
,1,15,135,135,%,,,,,,
,1,90,65,65,%,,,,,,
,1,15,160,160,%,,,,,,
,1,120,80,80,%,,,,,,
,1,15,160,160,%,,,,,,
,1,150,50,50,%,,,,,,
,1,15,160,160,%,,,,,,
,1,120,80,80,%,,,,,,
,1,15,160,160,%,,,,,,
,1,90,65,65,%,,,,,,
,1,15,135,135,%,,,,,,
,1,150,90,90,%,,,,,,
,1,15,135,135,%,,,,,,
,1,90,65,65,%,,,,,,
,1,15,110,110,%,,,,,,
,1,120,100,100,%,,,,,,
,1,15,110,110,%,,,,,,
,1,90,60,60,%,,,,,,
,1,120,100,100,%,,,,,,
,1,15,135,135,%,,,,,,
,1,60,50,50,%,,,,,,
,1,15,160,160,%,,,,,,
,1,30,50,50,%,,,,,,
,1,15,135,135,%,,,,,,
,1,30,50,50,%,,,,,,
,1,15,110,110,%,,,,,,
,1,165,55,55,%,,,,,,
