description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Get ready for a 'Power Party'! This workout is a lively blend of steady, longer efforts and quick, explosive bursts. It's about enjoying the ride while pushing the pace. Prepare for a dynamic, fun-filled session!",1,75,55,55,%,,,,,,
,1,75,65,65,%,,,,,,
,1,75,75,75,%,,,,,,
,1,75,85,85,%,,,,,,
,1,60,95,95,%,,,,,,
,1,30,50,50,%,,,,,,
,1,30,110,110,%,,,,,,
,1,30,50,50,%,,,,,,
,1,30,110,110,%,,,,,,
,1,30,50,50,%,,,,,,
,1,30,110,110,%,,,,,,
,1,120,55,55,%,,,,,,
,1,180,100,100,%,,,,,,
,3,30,70,70,%,,30,125,125,%,
,1,30,55,55,%,,,,,,
,1,60,120,120,%,,,,,,
,1,40,50,50,%,,,,,,
,3,20,151,151,%,,30,50,50,%,
,1,120,50,50,%,,,,,,
,1,120,50,50,%,,,,,,
,1,180,100,100,%,,,,,,
,3,30,70,70,%,,30,125,125,%,
,1,30,70,70,%,,,,,,
,1,60,120,120,%,,,,,,
,1,40,50,50,%,,,,,,
,3,20,151,151,%,,30,50,50,%,
,1,120,50,50,%,,,,,,
,1,120,50,50,%,,,,,,
,1,180,100,100,%,,,,,,
,3,30,70,70,%,,30,125,125,%,
,1,30,70,70,%,,,,,,
,1,60,120,120,%,,,,,,
,1,40,50,50,%,,,,,,
,3,20,151,151,%,,30,50,50,%,
,1,120,50,50,%,,,,,,
,1,120,50,50,%,,,,,,
