description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Long base ride to give the endurance needed to tackle the Zwift Fondo. We will increase the overall duration of this workout each week while maintaining a similar structure for the workouts. The focus here is on foundational fitness which will support the shorter and harder mid-week intervals.,1,600,50,75,%,,,,,,
,1,300,75,75,%,,,,,,
,7,120,95,95,%,,60,55,55,%,
,1,360,75,75,%,,,,,,
,1,240,90,90,%,,,,,,
,1,360,75,75,%,,,,,,
,1,240,95,95,%,,,,,,
,1,360,75,75,%,,,,,,
,1,240,100,100,%,,,,,,
,1,360,75,75,%,,,,,,
,1,240,105,105,%,,,,,,
,1,540,75,50,%,,,,,,
