description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Jeremy Hunt Formfinder.cc,1,600,40,60,%,,,,,,
,1,60,80,80,%,55,60,80,80,%,85
,1,120,80,80,%,55,120,80,80,%,85
,1,180,80,80,%,55,180,80,80,%,85
,1,120,80,80,%,55,120,80,80,%,85
,1,60,80,80,%,55,60,80,80,%,85
,1,720,55,55,%,,,,,,
,1,60,80,80,%,55,60,80,80,%,85
,1,120,80,80,%,55,120,80,80,%,85
,1,180,80,80,%,55,180,80,80,%,85
,1,120,80,80,%,55,120,80,80,%,85
,1,60,80,80,%,55,60,80,80,%,85
,1,300,55,55,%,,,,,,
,5,220,80,80,%,85,20,125,125,%,65
,1,300,55,35,%,,,,,,
