description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Franklin Bespoke,1,600,25,75,%,,,,,,
,1,120,100,100,%,,,,,,
,1,60,110,110,%,,,,,,
,1,360,85,85,%,,,,,,
,1,60,50,50,%,,,,,,
,1,120,100,100,%,,,,,,
,1,60,110,110,%,,,,,,
,1,360,85,85,%,,,,,,
,1,60,50,50,%,,,,,,
,1,120,100,100,%,,,,,,
,1,60,110,110,%,,,,,,
,1,360,85,85,%,,,,,,
,1,60,50,50,%,,,,,,
,1,120,100,100,%,,,,,,
,1,60,110,110,%,,,,,,
,1,360,85,85,%,,,,,,
,1,60,50,50,%,,,,,,
,1,600,75,25,%,,,,,,
