description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: T.Fulford CyclingHub,1,600,40,75,%,,,,,,
,1,180,81,81,%,,,,,,
,1,60,100,100,%,,,,,,
,1,30,110,110,%,,,,,,
,1,20,125,125,%,,,,,,
,1,180,81,81,%,,,,,,
,1,60,100,100,%,,,,,,
,1,30,110,110,%,,,,,,
,1,20,125,125,%,,,,,,
,1,180,81,81,%,,,,,,
,1,60,100,100,%,,,,,,
,1,30,110,110,%,,,,,,
,1,20,125,125,%,,,,,,
,1,180,81,81,%,,,,,,
,1,60,100,100,%,,,,,,
,1,30,110,110,%,,,,,,
,1,20,125,125,%,,,,,,
,1,480,70,70,%,,,,,,
,1,30,125,125,%,,,,,,
,1,60,109,109,%,,,,,,
,1,180,65,65,%,,,,,,
,1,30,125,125,%,,,,,,
,1,60,109,109,%,,,,,,
,1,180,65,65,%,,,,,,
,1,30,125,125,%,,,,,,
,1,60,109,109,%,,,,,,
,1,180,65,65,%,,,,,,
,1,30,125,125,%,,,,,,
,1,60,109,109,%,,,,,,
,1,460,75,40,%,,,,,,
