description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This optional training can be done in any other day of the week, not necessarily as last day.",1,300,53,53,%,85,,,,,
,1,120,73,73,%,100,,,,,
,1,300,53,53,%,90,,,,,
,1,120,73,73,%,100,,,,,
,1,300,53,53,%,90,,,,,
,1,120,73,73,%,100,,,,,
,1,300,53,53,%,90,,,,,
,1,120,73,73,%,100,,,,,
,1,300,53,53,%,90,,,,,
,1,120,73,73,%,100,,,,,
,1,300,53,53,%,90,,,,,
,1,120,73,73,%,100,,,,,
,1,120,53,53,%,85,,,,,
