description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Shayne Gaffney | GC Coaching,1,600,25,75,%,,,,,,
,1,30,95,95,%,95,,,,,
,1,30,50,50,%,85,,,,,
,1,30,105,105,%,105,,,,,
,1,30,50,50,%,85,,,,,
,1,30,115,115,%,115,,,,,
,1,30,50,50,%,85,,,,,
,1,120,50,50,%,85,,,,,
,1,300,103,103,%,90,,,,,
,1,120,65,65,%,85,,,,,
,1,60,115,115,%,105,,,,,
,1,120,65,65,%,85,,,,,
,1,300,103,103,%,90,,,,,
,1,120,65,65,%,85,,,,,
,1,60,115,115,%,105,,,,,
,1,120,65,65,%,85,,,,,
,1,300,103,103,%,90,,,,,
,1,120,65,65,%,85,,,,,
,1,60,115,115,%,105,,,,,
,1,120,65,65,%,85,,,,,
,1,300,103,103,%,90,,,,,
,1,120,65,65,%,85,,,,,
,1,60,115,115,%,105,,,,,
,1,120,50,50,%,85,,,,,
,1,180,85,85,%,100,,,,,
,1,60,85,85,%,70,,,,,
,1,180,85,85,%,100,,,,,
,1,60,85,85,%,70,,,,,
,1,180,85,85,%,100,,,,,
,1,60,85,85,%,70,,,,,
,1,180,85,85,%,100,,,,,
,1,180,55,55,%,85,,,,,
,1,900,85,85,%,90,,,,,
,1,120,50,25,%,,,,,,
