description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Shayne Gaffney | GC Coaching,1,600,40,75,%,,,,,,
,1,30,85,85,%,95,,,,,
,1,30,50,50,%,85,,,,,
,1,30,95,95,%,105,,,,,
,1,30,50,50,%,85,,,,,
,1,30,105,105,%,110,,,,,
,1,150,50,50,%,85,,,,,
,1,600,0,0,0,,,,,,
,1,600,75,75,%,75,,,,,
,1,120,50,50,%,85,,,,,
,1,300,80,80,%,75,,,,,
,1,300,80,80,%,85,,,,,
,1,120,50,50,%,85,,,,,
,1,120,85,85,%,100,,,,,
,1,30,85,85,%,65,,,,,
,1,120,85,85,%,100,,,,,
,1,30,85,85,%,65,,,,,
,1,120,85,85,%,100,,,,,
,1,30,85,85,%,65,,,,,
,1,120,85,85,%,100,,,,,
,1,30,85,85,%,65,,,,,
,1,120,50,50,%,85,,,,,
,1,600,80,80,%,,,,,,
,1,120,50,50,%,,,,,,
,1,120,75,75,%,,,,,,
,1,120,65,85,%,,,,,,
,1,120,85,65,%,,,,,,
,1,120,75,75,%,,,,,,
,1,120,85,65,%,,,,,,
,1,180,50,25,%,,,,,,
