description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Let's get in some intensity today! Do this 20min warm up then hop into a Zwift race. Make sure you leave about 5min to get into the pre-race pen to get a spot close to the front!,1,120,35,55,%,,,,,,
,1,60,60,60,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,75,75,%,,,,,,
,1,60,80,80,%,,,,,,
,1,60,85,85,%,,,,,,
,1,60,90,90,%,,,,,,
,1,120,100,100,%,,,,,,
,1,120,60,60,%,,,,,,
,4,8,140,140,%,,102,55,55,%,
