description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"In order to go fast, you'll need to be able ride at your Vo2max pace and also your anaerobic capacity, increasing these abilities so that you'll be ready to dish out the pain this coming season.   Warm-up 10 minutes and then do 3 x 1minute fast pedaling drills >110rpm, 5 minutes at tempo and then do 3 minutes Vo2 and then 2 minutes AC with 2 minutes recovery between each.   Repeat 3 more times for a great workout!  Cool down.",1,600,25,75,%,,,,,,
,3,60,75,75,%,,60,50,50,%,
,1,180,113,113,%,,,,,,
,1,120,50,50,%,,,,,,
,1,120,125,125,%,,,,,,
,1,300,75,75,%,,,,,,
,1,180,113,113,%,,,,,,
,1,120,50,50,%,,,,,,
,1,120,125,125,%,,,,,,
,1,300,75,75,%,,,,,,
,1,180,113,113,%,,,,,,
,1,120,50,50,%,,,,,,
,1,120,125,125,%,,,,,,
,1,300,75,75,%,,,,,,
,1,180,113,113,%,,,,,,
,1,120,50,50,%,,,,,,
,1,120,125,125,%,,,,,,
,1,600,75,25,%,,,,,,
