description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Work here on that top end speed just above threshold. If you want to make - or join - a breakaway, this is the sort of fitness you will need to make that happen.",1,240,24,75,%,,,,,,
,1,180,75,75,%,,,,,,
,1,180,85,85,%,,,,,,
,1,30,125,125,%,,,,,,
,1,90,99,99,%,,,,,,
,1,240,49,49,%,,,,,,
,1,180,75,75,%,,,,,,
,1,180,85,85,%,,,,,,
,1,30,125,125,%,,,,,,
,1,90,99,99,%,,,,,,
,1,180,50,50,%,,,,,,
,1,180,75,75,%,,,,,,
,1,180,85,85,%,,,,,,
,1,30,125,125,%,,,,,,
,1,90,99,99,%,,,,,,
,1,120,50,50,%,,,,,,
,1,180,75,75,%,,,,,,
,1,180,85,85,%,,,,,,
,1,30,125,125,%,,,,,,
,1,90,99,99,%,,,,,,
,1,300,99,25,%,,,,,,
