description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"A little bit of sweet spot work on the docket for today. They call it the ""sweet spot"" for a reason and these efforts should be a blend of delight and pain. Hard enough to be working, but not hard enough to make you hate your life.",1,600,55,55,%,,,,,,
,1,10,70,70,%,,,,,,
,1,10,80,80,%,,,,,,
,1,10,90,90,%,,,,,,
,1,60,60,60,%,,,,,,
,1,10,70,70,%,,,,,,
,1,10,80,80,%,,,,,,
,1,10,90,90,%,,,,,,
,1,60,60,60,%,,,,,,
,1,10,70,70,%,,,,,,
,1,10,80,80,%,,,,,,
,1,10,90,90,%,,,,,,
,1,60,60,60,%,,,,,,
,1,10,70,70,%,,,,,,
,1,10,80,80,%,,,,,,
,1,10,90,90,%,,,,,,
,1,60,60,60,%,,,,,,
,1,10,70,70,%,,,,,,
,1,10,80,80,%,,,,,,
,1,10,90,90,%,,,,,,
,1,60,60,60,%,,,,,,
,1,240,75,75,%,,,,,,
,1,120,83,83,%,,,,,,
,1,120,90,90,%,,,,,,
,1,120,97,97,%,,,,,,
,1,180,60,60,%,,,,,,
,1,120,83,83,%,,,,,,
,1,120,90,90,%,,,,,,
,1,120,97,97,%,,,,,,
,1,180,60,60,%,,,,,,
,1,120,83,83,%,,,,,,
,1,120,90,90,%,,,,,,
,1,120,97,97,%,,,,,,
,1,180,60,60,%,,,,,,
,1,120,83,83,%,,,,,,
,1,120,90,90,%,,,,,,
,1,120,97,97,%,,,,,,
,1,180,60,60,%,,,,,,
,1,120,83,83,%,,,,,,
,1,120,90,90,%,,,,,,
,1,120,97,97,%,,,,,,
,1,180,60,60,%,,,,,,
,1,210,60,60,%,,,,,,
