description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Today's workout is going to be a sweet ass exploration of your personal limits and will likely break you down to your core so we can rebuild a better and brighter ""you"". JK. But it should be fun. A little bit of over-gear that will be at higher power so I recommend adjusting your FTP if you think it's a little generous.",1,180,55,55,%,,,,,,
,1,180,50,50,%,,,,,,
,1,180,55,55,%,,,,,,
,1,180,65,65,%,,,,,,
,1,60,80,80,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,80,80,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,80,80,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,80,80,%,,,,,,
,1,60,55,55,%,,,,,,
,1,20,100,100,%,,,,,,
,1,20,110,110,%,,,,,,
,1,20,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,20,100,100,%,,,,,,
,1,20,110,110,%,,,,,,
,1,20,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,20,100,100,%,,,,,,
,1,20,110,110,%,,,,,,
,1,20,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,240,55,55,%,,,,,,
,1,120,90,90,%,90,,,,,
,1,120,100,100,%,65,,,,,
,1,180,80,80,%,85,,,,,
,1,120,70,70,%,90,,,,,
,1,180,55,55,%,,,,,,
,1,120,90,90,%,90,,,,,
,1,120,100,100,%,65,,,,,
,1,180,80,80,%,80,,,,,
,1,120,70,70,%,95,,,,,
,1,180,55,55,%,,,,,,
,1,120,90,90,%,80,,,,,
,1,120,100,100,%,65,,,,,
,1,180,80,80,%,75,,,,,
,1,120,70,70,%,95,,,,,
,1,720,55,55,%,,,,,,
