description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Let's get in some intensity today! Do this 20min warm-up, then hop into a Zwift race. Make sure you leave about 5min to get into the pre-race pen and get a spot close to the front!",1,300,35,55,%,90,,,,,
,1,120,60,60,%,85,,,,,
,1,120,70,70,%,95,,,,,
,1,120,85,85,%,100,,,,,
,1,90,100,100,%,105,,,,,
,1,30,110,110,%,110,,,,,
,1,120,55,55,%,90,,,,,
,1,6,150,150,%,,60,55,55,%,
,1,6,175,175,%,,60,55,55,%,
,1,6,200,200,%,,60,55,55,%,
,1,102,55,35,%,90,,,,,
