description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Karen Parnell,1,300,25,60,%,,,,,,
,1,120,60,60,%,,,,,,
,1,120,70,70,%,,,,,,
,1,120,80,80,%,,,,,,
,1,120,50,50,%,,,,,,
,1,120,60,60,%,,,,,,
,1,120,70,70,%,,,,,,
,1,120,80,80,%,,,,,,
,1,120,50,50,%,,,,,,
,1,120,60,60,%,,,,,,
,1,120,70,70,%,,,,,,
,1,120,80,80,%,,,,,,
,1,120,50,50,%,,,,,,
,1,120,60,60,%,,,,,,
,1,120,70,70,%,,,,,,
,1,120,80,80,%,,,,,,
,1,120,50,50,%,,,,,,
,1,120,50,25,%,,,,,,
