description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Focusing on efforts that increase in intensity today. Just as in L'Etape du Tour de France, you will be ramping up the pace as you reach the top of the climbs. We are also looking at the repeatability of these efforts. Everyone is good on the 1st climb. We want you good on the last climb!",1,300,45,75,%,,,,,,
,2,60,80,80,%,,60,50,50,%,
,2,60,98,98,%,,60,50,50,%,
,1,120,50,50,%,,,,,,
,1,180,81,81,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,109,109,%,,,,,,
,1,240,50,50,%,,,,,,
,1,180,81,81,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,109,109,%,,,,,,
,1,240,50,50,%,,,,,,
,1,180,81,81,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,109,109,%,,,,,,
,1,240,50,50,%,,,,,,
,1,180,81,81,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,109,109,%,,,,,,
,1,240,50,50,%,,,,,,
,1,240,95,95,%,,,,,,
,1,300,50,50,%,,,,,,
