description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Today's session focuses on simulating the demands of extended climbing. The climb starts at the lower end of zone 3 and finishes in zone 4. But you will be targeting a cadence similar to climbing.When performing the 4 x 8min intervals, position yourself on the bike as you would climbing seated.",1,300,50,75,%,,,,,,
,1,60,50,50,%,,,,,,
,1,60,110,110,%,,,,,,
,1,60,50,50,%,,,,,,
,1,180,95,95,%,,,,,,
,1,60,50,50,%,,,,,,
,1,480,76,92,%,70,,,,,
,1,180,55,55,%,,,,,,
,1,480,76,92,%,75,,,,,
,1,180,55,55,%,,,,,,
,1,480,76,92,%,80,,,,,
,1,180,55,55,%,,,,,,
,1,480,76,92,%,,,,,,
,1,300,51,51,%,,,,,,
